Absolute Return HFs,Aggregate - Global,Aggregate - US,Asia Pacific ex Japan,Bitcoin,Cash - US,Credit Directional HFs,EM Debt,EM Equities,General Commodities,Global ACWI EAFE,Global Equities ACWI,Gold,Govt Bonds - Global,Govt Bonds - US,Growth Directional HFs,High Yield,HY Muni Bond,IG Corp,IG Muni Bond,Illiquid RE,Infrastructure,Japan Equities,Pan Europe,PE,Private Debt,REITs - Global,US Equities
-0.20000,-0.55844,-1.14145,-6.36755,-15.40804,0.39629,-0.21000,-1.18480,-2.40225,-6.48770,-4.00706,-1.04763,-1.35243,-2.03062,-1.09308,0.15996,-1.22968,-0.47635,-1.42199,-0.64008,-2.43000,-2.93959,0.84976,-5.19655,1.26000,-0.38167,-3.90726,0.46162
2.14000,0.13555,-0.36926,4.22482,38.15695,0.41230,1.03000,2.49947,4.40272,4.47710,4.48724,5.78993,-2.17742,-0.19951,-0.80045,2.10000,1.77735,0.71291,0.51456,0.55636,3.29000,9.04388,5.05055,4.52155,4.25000,1.65242,3.21833,6.48142
1.78000,-0.09669,-0.01531,4.02462,-0.31266,0.42987,1.05000,1.72377,6.04146,7.26202,2.70345,3.59600,2.22589,0.02221,-0.30325,1.42000,1.11616,0.10675,0.29763,0.02809,1.27000,3.35210,2.45557,2.49308,2.72000,1.49000,3.35220,3.27333
-0.72000,-0.09679,-0.62992,-6.28129,-2.19550,0.44541,0.41000,-1.84242,-6.62694,-0.97591,-3.93500,-2.90774,-1.20968,-1.31024,-0.50586,-0.79000,0.18579,-0.49098,-0.80086,-0.77486,-1.91000,-3.54048,-2.80669,-3.80309,-0.83000,0.58000,-3.53833,-1.62520
-0.65000,-1.87948,-2.58779,-3.39971,2.56547,0.44682,0.34000,-3.32749,-3.11463,-1.01632,-3.64882,-4.27979,-4.78912,-3.36409,-2.26935,-1.27000,-1.61481,-3.04441,-2.53995,-2.55276,-4.11000,-5.51255,-2.19014,-4.21433,-2.54000,-0.59000,-6.37878,-4.73933
-1.60000,-0.63191,-1.56844,-3.34339,39.44763,0.43255,-0.59000,-1.18402,-3.29381,0.49782,-2.90192,-2.54412,7.43070,-1.07114,-1.18740,-1.79000,-1.03977,-2.16373,-1.79803,-1.24870,-1.74000,-4.01749,-2.20600,-3.05887,-1.04000,-0.63000,-4.62919,-2.17086
2.63000,3.49762,4.58902,6.13784,13.02317,0.43317,1.79000,6.23191,7.79292,-2.97214,8.21877,8.88691,2.52727,4.68401,3.48875,3.44000,4.88165,6.03609,5.85989,5.70731,7.20000,7.23235,6.19064,9.44457,7.24000,3.99000,10.59931,9.13439
3.15000,2.97619,3.69262,8.82168,14.46520,0.44700,1.87000,4.53864,3.60066,-3.03127,5.36390,4.82715,1.27141,4.18213,3.24093,1.08000,3.18563,2.92336,4.06438,2.25371,5.37000,7.56250,3.88764,5.10836,3.84000,3.29000,9.38009,4.56625
0.20000,-0.14917,-0.15113,-4.37687,9.73426,0.44554,0.67000,-1.21267,-4.52624,0.39487,-0.45123,0.27513,-1.38355,-1.55390,-0.17361,0.40000,0.11629,0.36800,-0.13656,0.04612,-2.81000,-3.89868,3.22732,-0.92698,1.33000,0.77000,-4.25972,1.59265
2.18000,-0.61625,-1.47596,1.63816,45.69624,0.41598,0.82000,0.78092,4.16775,-1.86824,2.98627,4.50759,0.41569,-1.47430,-1.29467,2.65000,0.30045,0.64105,-1.35148,-0.21542,1.26000,5.40052,4.39511,2.50143,3.29000,1.02000,0.21598,5.21869
2.01000,0.82676,0.90129,1.46954,14.12827,0.44409,1.22000,1.99448,2.72568,3.87442,3.37864,3.26301,8.69340,0.55627,0.76657,1.78000,1.08801,0.90801,1.25260,-0.09484,1.16000,6.70085,3.22627,3.70715,2.34000,1.54000,2.64922,3.27239
-0.69000,-1.71450,-2.47588,-2.63957,-16.87510,0.42885,0.05000,-2.41075,-0.21908,2.92605,-3.24318,-3.55035,3.07070,-2.99829,-2.44909,-1.09000,-1.34908,-1.68094,-2.41848,-0.94035,-1.75000,-2.60609,-5.71829,-2.37112,-0.50000,0.76000,-6.58784,-4.03197
1.41000,1.00493,1.66822,5.23033,14.43535,0.44336,1.05000,2.60291,1.95170,2.15558,5.06018,4.57541,1.59353,0.92957,1.42329,1.47000,1.63088,0.71208,2.00264,-0.31008,-0.98000,4.85437,2.52713,5.94296,1.03000,1.07000,4.38517,5.05797
-0.03000,0.82598,0.88339,-0.35246,-11.39957,0.45818,0.45000,-0.23553,2.62003,-1.95719,-1.80761,2.03990,-0.13639,0.09606,0.98031,0.33000,0.47803,0.96931,0.47429,1.03125,2.57000,-4.49476,-0.31898,-2.78191,4.45000,0.79000,1.01280,3.52847
1.27000,1.86185,2.42075,1.93023,8.54951,0.41468,1.14000,2.67068,0.84527,-4.14847,2.59160,1.53915,5.39495,2.98617,2.22552,1.70000,2.35225,2.17289,2.41348,1.30850,4.42000,9.63913,4.00059,2.11834,1.26000,0.70000,6.27957,1.21091
0.25000,1.24292,1.45990,4.03833,-10.21702,0.45641,0.63000,2.26638,0.97788,-0.39050,3.26033,2.49715,2.11663,2.37886,1.27305,0.44000,1.54857,-0.06967,1.64894,0.23639,3.47000,-1.19099,1.40905,4.05937,2.07000,0.87000,5.54431,2.33656
1.37000,1.08323,1.33144,7.10526,8.02139,0.40102,1.20000,2.01645,5.74130,5.32506,0.78332,2.19696,5.11844,1.45626,1.17599,1.66000,1.69820,1.72404,1.72335,1.14291,1.59000,3.49163,-0.59747,0.13748,-1.39000,0.87000,3.30750,2.10092
-0.55000,-1.46455,-2.51921,-5.79443,10.11881,0.40622,0.62000,-2.44175,-3.07458,-1.51985,-5.27323,-2.09118,4.30584,-3.68865,-2.42859,-0.39000,-0.96299,-1.26702,-2.45889,-1.22285,-1.69000,-0.14903,-4.85043,-5.66329,2.89000,0.85000,-4.42113,-0.89236
2.42000,0.99692,1.11254,3.47751,38.62615,0.39038,1.34000,1.82751,-2.67717,-0.06299,-0.31558,4.03247,-3.06713,0.47669,0.82697,2.77000,1.64395,1.54638,1.45762,1.66543,2.22000,10.02132,2.37990,-1.80098,2.99000,0.73000,3.13603,5.96335
-0.43000,-0.43073,-1.69119,-6.00760,-3.98236,0.36566,0.37000,-2.22195,-1.69194,1.13457,-2.94789,-2.65481,-1.47264,-1.94132,0.71645,-0.84000,-0.77395,-1.10739,-1.89797,-1.33642,-4.71000,-9.86310,-2.20660,-2.87150,-0.43000,0.50000,-7.36449,-2.40998
1.32000,0.48666,0.51600,2.35106,8.63280,0.36531,1.07000,1.69587,2.15208,4.67435,4.80095,3.14043,6.78651,-0.07786,-1.74064,1.85000,1.36046,0.09632,0.59666,-0.00939,0.73000,2.44113,1.80328,6.39647,1.74000,0.68000,1.46016,2.68564
-0.56000,0.77130,2.23737,-0.20071,-17.16204,0.32846,0.75000,2.13101,1.14700,0.95266,2.95305,-0.29705,1.89143,1.64737,2.16479,-0.14000,0.97101,1.49994,2.07295,1.32711,2.59000,-1.77141,0.23423,4.74815,0.16000,0.70000,2.75493,-1.26948
-1.13000,-0.44500,-0.02675,-1.45251,-2.16184,0.36032,-0.45000,-1.14969,1.13400,4.12858,0.18387,-3.67458,9.44867,0.58038,0.20135,-1.60000,-1.08443,-2.27441,-0.30123,-1.82334,-1.29000,-2.67536,0.13144,0.31024,-2.73000,0.33000,-2.41650,-5.57209
