Security,Currency,Tier1,Tier2,Tier3,Tier4,PCC Building Blocks ,Proxy,Index
Horizon Trade Finance - North American A1,US Dollar,Diversified,Income Strategies,Alternative Credit,Specialist Finance,Other Credit,P_Private Debt,-
Hudson Bay International Fund Ltd,US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
Hybrid Equity Fund Composite,US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
ICE BofA Gbl HY Constnd TR HEUR,Euro,Diversified,Income Strategies,Credit,Developed High Yield,High Yield,P_Credit_EUR,-
ICE BofA Gbl HY Constnd TR HGBP,Pound Sterling,Diversified,Income Strategies,Credit,Developed High Yield,High Yield,P_Credit_GBP,-
ICE BofA US High Yield TR USD,US Dollar,Diversified,Income Strategies,Credit,Developed High Yield,High Yield,P_High Yield,-
Impact World Equity Fund Holdings,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
Impact World Equity Fund Perf,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
Impactive Capital Class D (IWEF),US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
International Public Partnerships Ord,Pound Sterling,Diversified,Inflation Protection Strategies,Real Assets,Listed Infrastructure,Global Equities,-,-
Invesco EQQQ NASDAQ-100 ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
Invesco IG Govt-Credit Int Impact,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
Invesco IG Taxable Int Impact,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
Invesco NASDAQ 100 ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
Invesco Physical Gold ETC,Euro,Diversified,Income Strategies,Commodities,Gold & Precious Metals,Gold,P_Commodities_EUR,-
Invesco QQQ Trust,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
Invesco RAFI Developed Mkts ex-US S-METF,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
Invesco S&P 500® Equal Weight ETF,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
Invesco Senior Loan ETF,US Dollar,Diversified,Income Strategies,Credit,Senior Loans,Other Credit,P_Loans,-
Invesco Tax-Free Ltd Term Impact,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Municipal Bonds,US Munis,P_US Municipal,-
iPath® Bloomberg Cmdty TR ETN,US Dollar,Diversified,Inflation Protection Strategies,Commodities,General Commodities,Commodities,P_Commodity,-
iShares $ TIPS ETF GBP H Dist,Pound Sterling,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_Investment Grade Bonds_GBP,-
iShares $ Treasury Bd 3-7y ETF USD Acc,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Government / Supranational Bonds,US Govt / Gbl Govt,P_US Government,-
